,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity
14851,-117.08,32.67,31,3008,764,2088,757,2.5662,NEAR OCEAN
20153,-119.23,34.46,34,9280,1765,4514,1693,3.2026,<1H OCEAN
8347,-118.32,33.94,36,1722,280,830,261,4.0536,<1H OCEAN
12545,-121.5,38.55,49,4094,634,1363,659,5.2362,INLAND
525,-122.24,37.77,52,1711,386,885,373,3.6417,NEAR BAY
12843,-121.37,38.69,29,2103,380,1124,387,3.0833,INLAND
5773,-118.27,34.15,14,1744,536,1494,531,3.2171,<1H OCEAN
15867,-122.4,37.76,52,1529,385,1347,348,2.9312,NEAR BAY
6922,-118.06,34.02,25,3548,639,2653,664,5.2557,<1H OCEAN
16410,-121.23,37.94,20,268,78,77,49,1.125,INLAND
12113,-117.24,33.95,11,6617,1118,3710,1087,4.7877,INLAND
13787,-117.29,35.54,35,7922,1636,3431,1329,3.4145,INLAND
5147,-118.26,33.97,52,1331,346,1144,362,1.5326,<1H OCEAN
9684,-121.64,36.72,17,4203,816,2900,827,4.1742,<1H OCEAN
8952,-118.38,34.03,44,1913,441,1295,432,3.9537,<1H OCEAN
9175,-118.53,34.38,18,2288,607,2305,597,3.227,<1H OCEAN
8880,-118.49,34.04,31,4066,951,1532,868,4.8125,<1H OCEAN
18527,-122.04,36.97,49,792,136,331,137,5.2128,NEAR OCEAN
18535,-122.01,36.97,52,920,202,525,264,2.9444,NEAR OCEAN
9498,-123.73,39.17,20,4620,1042,1745,794,2.375,NEAR OCEAN
6802,-118.13,34.09,42,2562,781,1936,687,2.2214,<1H OCEAN
12226,-116.92,33.63,18,397,89,239,80,2.8125,INLAND
15689,-122.43,37.79,52,6186,1566,2065,1374,5.8543,NEAR BAY
2902,-119.02,35.38,48,346,92,129,63,1.1875,INLAND
17850,-121.88,37.44,17,1621,299,1028,293,5.2722,<1H OCEAN
2235,-119.79,36.84,22,1529,375,1543,395,1.7926,INLAND
6367,-118.01,34.16,47,1745,270,753,275,5.532,INLAND
12091,-117.28,33.85,16,3498,702,2372,672,2.3229,INLAND
7729,-118.13,33.93,38,2040,458,1775,445,3.5227,<1H OCEAN
1330,-121.88,38.01,9,5329,1284,2827,1202,2.7374,INLAND
2206,-119.88,36.83,2,4055,735,1730,654,4.2132,INLAND
8459,-118.35,33.9,32,1056,225,565,231,3.9485,<1H OCEAN
20556,-121.79,38.67,17,2875,810,1876,749,1.951,INLAND
5295,-118.44,34.07,35,1973,332,1257,296,8.9565,<1H OCEAN
6460,-118.05,34.1,36,1606,318,889,294,4.7931,INLAND
9768,-121.32,36.42,20,1054,269,1219,273,3.0437,<1H OCEAN
19968,-119.09,36.21,43,1335,280,943,288,1.9861,INLAND
19209,-122.71,38.46,42,1574,376,844,369,2.314,<1H OCEAN
16560,-121.37,37.77,19,2610,474,1290,452,4.1298,INLAND
4120,-118.19,34.14,46,2387,488,1181,456,3.6058,<1H OCEAN
9993,-121.12,39.03,17,838,161,388,142,3.6563,INLAND
8721,-118.36,33.83,36,1660,300,943,300,5.1984,<1H OCEAN
10472,-117.73,33.49,17,2168,290,654,279,9.8321,<1H OCEAN
17578,-121.94,37.3,26,4348,814,2347,810,4.7275,<1H OCEAN
2962,-119.05,35.34,14,3580,984,1933,912,2.6637,INLAND
48,-122.26,37.82,40,624,195,423,160,0.9506,NEAR BAY
2894,-118.99,35.37,38,918,220,743,222,1.7292,INLAND
4481,-118.18,34.06,27,2025,565,2189,577,2.6083,<1H OCEAN
15857,-122.39,37.76,52,624,170,410,148,4.0042,NEAR BAY
12097,-117.28,33.89,33,6982,1371,5650,1195,2.5379,INLAND
7948,-118.14,33.86,44,1276,234,538,213,4.8667,<1H OCEAN
11007,-117.78,33.76,25,2260,261,719,254,11.4537,<1H OCEAN
15863,-122.4,37.76,52,4265,912,1555,836,4.119,NEAR BAY
13719,-117.18,34.07,14,1258,245,752,264,3.3924,INLAND
1754,-122.32,37.94,38,2751,522,1390,489,3.7277,NEAR BAY
13391,-117.59,34.09,16,2401,465,1757,500,3.9755,INLAND
20429,-118.84,34.22,11,3170,420,1418,432,7.5118,<1H OCEAN
9090,-118.22,34.66,17,3810,662,1867,586,4.9,INLAND
14828,-117.1,32.66,27,1782,560,1785,560,2.1542,NEAR OCEAN
15362,-117.22,33.36,16,3165,482,1351,452,4.605,<1H OCEAN
11816,-121.06,38.98,14,2267,355,1140,369,4.7019,INLAND
17567,-121.91,37.31,16,2962,898,1555,795,2.5804,<1H OCEAN
12852,-121.37,38.68,35,1620,276,939,277,2.5542,INLAND
8847,-118.4,34.09,45,2686,283,857,259,15.0001,<1H OCEAN
3685,-118.37,34.21,36,2080,455,1939,484,4.2875,<1H OCEAN
45,-122.26,37.83,52,1656,420,718,382,2.6768,NEAR BAY
2159,-119.81,36.77,48,1805,329,741,331,2.5804,INLAND
5604,-118.28,33.78,20,2233,591,1915,558,3.2011,<1H OCEAN
9088,-118.22,34.67,28,2357,408,1162,384,4.3636,INLAND
19861,-119.3,36.34,27,1515,358,1178,309,1.4432,INLAND
15183,-117.15,33.02,4,15029,2279,5613,1696,7.2731,NEAR OCEAN
8029,-118.11,33.84,36,1463,257,722,260,4.8438,<1H OCEAN
10319,-117.79,33.84,9,10484,1603,4005,1419,8.3931,<1H OCEAN
4842,-118.29,34.03,22,3313,1235,2381,1063,0.7473,<1H OCEAN
13879,-117.38,34.44,4,5083,867,2541,856,4.2414,INLAND
3667,-118.4,34.24,35,2552,545,1850,503,4.775,<1H OCEAN
17606,-121.89,37.29,38,1568,351,710,339,2.7042,<1H OCEAN
17897,-121.93,37.35,36,1823,410,1589,387,3.1065,<1H OCEAN
13665,-117.31,34.02,18,1634,274,899,285,5.2139,INLAND
17120,-122.14,37.47,36,2081,412,1931,373,3.7917,NEAR BAY
13213,-117.71,34.04,17,4098,733,1859,713,2.9811,INLAND
17927,-121.96,37.35,37,1755,325,699,321,3.925,<1H OCEAN
3047,-119.28,35.5,28,3107,782,3260,738,1.6944,INLAND
17144,-122.19,37.45,18,1636,414,853,439,5.1032,NEAR OCEAN
3505,-118.45,34.25,36,1453,270,808,275,4.3839,<1H OCEAN
8397,-118.36,33.95,42,1139,302,1283,306,4.1635,<1H OCEAN
3272,-122.91,39.06,21,1236,238,601,261,1.939,INLAND
12798,-121.45,38.62,38,2419,605,1696,503,1.4861,INLAND
3839,-118.43,34.18,22,2052,568,1254,572,2.6364,<1H OCEAN
3351,-121.02,40.51,17,890,167,406,154,3.3036,INLAND
7058,-118.04,33.92,34,1995,417,1573,407,3.4907,<1H OCEAN
2064,-119.8,36.68,31,2214,432,1326,416,2.1691,INLAND
8641,-118.39,33.87,34,2395,469,1087,438,5.9683,<1H OCEAN
13368,-117.57,34.15,3,12806,2219,4249,1499,5.485,INLAND
16388,-121.3,38.05,52,122,26,62,25,1.15,INLAND
6578,-118.18,34.2,44,1473,250,668,239,8.72,<1H OCEAN
15474,-117.21,33.14,12,4839,954,1708,952,2.8586,<1H OCEAN
5755,-118.28,34.18,52,2602,418,1137,419,5.3185,<1H OCEAN
14131,-117.08,32.76,18,1704,596,1639,548,1.7391,NEAR OCEAN
2058,-119.65,36.62,6,1931,422,1344,414,1.6607,INLAND
1786,-122.35,37.93,19,1334,366,1048,316,1.7865,NEAR BAY
272,-122.19,37.78,52,1070,193,555,190,3.7262,NEAR BAY
2407,-119.43,36.61,19,1484,296,1296,298,2.4219,INLAND
7255,-118.15,34,32,3218,739,2368,730,3.1406,<1H OCEAN
6555,-118.1,34.18,39,2321,336,880,339,7.7108,INLAND
2391,-119.33,36.89,15,1879,411,755,294,2,INLAND
2151,-119.78,36.78,37,2185,455,1143,438,1.9784,INLAND
17355,-120.43,34.88,22,2580,381,1149,372,5.0113,<1H OCEAN
10864,-117.88,33.71,30,1739,359,1914,369,3.5551,<1H OCEAN
6554,-118.07,34.17,35,2142,373,986,374,5.7051,INLAND
18603,-122.08,37.15,23,506,96,264,89,7.1366,NEAR OCEAN
12020,-117.46,33.95,34,1565,296,1142,328,3.6979,INLAND
3559,-118.58,34.24,26,3239,647,1529,590,3.2426,<1H OCEAN
590,-122.09,37.71,31,1843,282,749,269,5.2855,NEAR BAY
19688,-121.62,39.13,41,1147,243,583,239,2.2431,INLAND
19062,-122.47,38.3,15,4885,988,2175,924,3.4031,<1H OCEAN
6832,-118.12,34.08,52,1437,290,980,282,5.3032,<1H OCEAN
228,-122.19,37.8,46,1938,341,768,332,4.2727,NEAR BAY
711,-122.08,37.68,26,2607,682,1401,607,2.6563,NEAR BAY
7501,-118.26,33.92,42,3320,682,2105,632,1.9809,<1H OCEAN
20246,-119.26,34.27,40,2528,572,1318,549,3.6413,NEAR OCEAN
4878,-118.24,34.03,52,142,47,137,45,1.8333,<1H OCEAN
5149,-118.27,33.96,38,1126,270,999,265,0.5495,<1H OCEAN
8127,-118.16,33.8,9,3564,835,1530,807,5.1806,NEAR OCEAN
772,-122.1,37.66,36,1305,225,768,234,4.275,NEAR BAY
16912,-122.34,37.56,39,3562,391,1139,391,12.6417,NEAR OCEAN
18829,-123.26,41.86,25,2344,532,1117,424,2.7222,INLAND
18517,-122.04,36.98,35,2155,355,866,335,5.6188,NEAR OCEAN
11829,-120.87,39.18,25,2691,598,964,373,3.9196,INLAND
14350,-117.21,32.74,45,3025,583,1980,550,2.2982,NEAR OCEAN
4785,-118.32,34.03,50,1845,349,1109,335,2.8971,<1H OCEAN
9240,-119.88,36.93,12,3174,520,1590,488,4.5347,INLAND
10677,-117.77,33.54,47,3090,652,1105,582,4.1699,<1H OCEAN
9867,-121.84,36.61,26,2902,761,2258,719,2.5663,<1H OCEAN
14466,-117.24,32.82,20,2467,332,731,335,7.2559,NEAR OCEAN
17478,-119.86,34.38,28,1062,309,1058,305,1.5071,NEAR OCEAN
15404,-117.24,33.23,13,3756,648,1767,614,4.0776,<1H OCEAN
19184,-122.59,38.43,20,2791,546,785,512,3.4561,<1H OCEAN
3585,-118.52,34.22,21,4617,1101,2891,1031,3.2289,<1H OCEAN
7410,-118.21,33.95,38,1889,565,2087,559,1.7778,<1H OCEAN
7113,-118.02,33.89,36,1375,,670,221,5.0839,<1H OCEAN
15675,-122.43,37.8,52,3172,848,1259,806,4.1047,NEAR BAY
18576,-121.76,36.9,44,919,309,1321,301,2.0775,<1H OCEAN
4358,-118.37,34.08,52,2946,695,1258,650,3.9783,<1H OCEAN
18071,-122.01,37.28,22,2038,260,773,281,9.1569,<1H OCEAN
12413,-116.22,33.74,26,4120,858,2918,815,3.3107,INLAND
17563,-121.89,37.31,52,1994,404,1014,389,4.3882,<1H OCEAN
16854,-122.42,37.62,36,1017,165,407,159,4.8,NEAR OCEAN
5537,-118.43,33.96,20,1901,270,704,254,8.7819,<1H OCEAN
7674,-118.09,33.92,36,2381,419,1669,444,4.6976,<1H OCEAN
15014,-117.04,32.76,37,2979,557,1285,564,3.7368,NEAR OCEAN
7173,-118.19,34.05,42,1291,345,1535,332,1.9083,<1H OCEAN
20245,-119.26,34.27,36,1972,382,1029,411,3.7337,NEAR OCEAN
18407,-121.81,37.27,20,3244,520,1769,469,5.9214,<1H OCEAN
3132,-117.99,35.16,15,2180,416,960,370,2.875,INLAND
15559,-117.07,33.11,17,5565,1237,3004,1139,3.0054,<1H OCEAN
5510,-118.42,33.99,38,740,171,599,194,4.0893,<1H OCEAN
9981,-122.27,38.53,22,678,137,336,103,4.4,INLAND
17428,-120.47,34.65,16,2549,428,1486,432,4.2875,NEAR OCEAN
16997,-122.27,37.54,5,2140,420,990,394,6.035,NEAR BAY
13219,-117.69,34,28,707,154,561,129,2.5781,INLAND
4151,-118.21,34.12,41,1904,514,1666,498,3.6845,<1H OCEAN
8837,-118.38,34.08,52,1479,360,652,346,2.945,<1H OCEAN
15832,-122.43,37.75,52,2285,509,839,456,4.7946,NEAR BAY
4620,-118.31,34.08,49,2549,630,1539,594,2.6218,<1H OCEAN
2214,-119.85,36.84,12,2272,304,840,305,8.9669,INLAND
12381,-116.47,33.78,27,1781,441,759,340,3.3162,INLAND
9254,-120.07,36.97,27,968,240,587,231,1.6071,INLAND
11616,-118.06,33.8,20,1379,333,937,304,3.6217,<1H OCEAN
6616,-118.11,34.17,50,3374,598,1484,569,4.99,INLAND
9783,-121.2,36.14,12,3738,710,2337,664,3.9647,<1H OCEAN
6248,-117.97,34.05,34,2050,495,1832,465,2.8333,<1H OCEAN
5664,-118.28,33.73,45,2137,559,1550,529,1.9167,NEAR OCEAN
3866,-118.46,34.17,24,2814,675,1463,620,4.1875,<1H OCEAN
19892,-119.14,36.29,36,788,181,405,180,1.47,INLAND
10281,-117.82,33.89,21,3079,509,1431,480,4.0714,<1H OCEAN
17459,-119.88,34.4,25,2741,623,2272,624,2.2647,NEAR OCEAN
8469,-118.31,33.91,31,1415,339,874,289,3.8173,<1H OCEAN
19984,-119.33,36.19,27,418,163,332,141,1.0714,INLAND
18383,-121.8,37.19,45,1797,303,870,281,4.5417,<1H OCEAN
670,-122.16,37.69,36,1118,219,625,228,3.7813,NEAR BAY
8166,-118.13,33.8,36,1496,271,743,265,4.4312,<1H OCEAN
5802,-118.25,34.14,30,1615,570,1245,544,1.8929,<1H OCEAN
13016,-121.18,38.69,7,7104,970,2772,920,6.3528,INLAND
16784,-122.45,37.69,17,2359,501,884,504,3.0625,NEAR OCEAN
2160,-119.81,36.77,43,2341,395,890,375,3.4265,INLAND
17662,-121.88,37.27,24,4567,688,2102,695,5.6895,<1H OCEAN
7025,-118.11,33.98,36,446,108,410,117,3.3942,<1H OCEAN
10680,-117.76,33.53,28,3085,499,1176,480,7.9794,<1H OCEAN
19222,-122.7,38.46,29,2891,459,1012,441,5.0415,<1H OCEAN
21,-122.27,37.85,42,1639,367,929,366,1.7135,NEAR BAY
17454,-120.37,34.69,18,1868,315,747,265,4.7946,NEAR OCEAN
6744,-118.07,34.12,43,1554,287,802,277,4.2312,INLAND
19697,-121.63,39.1,22,3585,548,1757,577,4.174,INLAND
19980,-119.08,36.2,30,1677,358,1159,365,2.4554,INLAND
16268,-121.24,37.96,29,874,217,788,222,1.9187,INLAND
19403,-120.93,37.72,18,391,71,247,71,4.3864,INLAND
1567,-121.97,37.76,8,3743,581,1633,567,6.7027,<1H OCEAN
3509,-118.46,34.25,33,2202,433,1135,407,4.2143,<1H OCEAN
19927,-119.33,36.32,19,2778,431,1092,451,5.2561,INLAND
16963,-122.31,37.54,46,2444,397,952,402,4.75,NEAR OCEAN
16042,-122.47,37.72,46,1453,306,817,310,3,NEAR OCEAN
9494,-123.85,39.39,23,4671,912,2095,857,3.184,<1H OCEAN
11624,-118.05,33.82,25,1548,279,732,265,5.123,<1H OCEAN
13988,-117.15,34.83,30,5370,1062,2778,944,3.099,INLAND
13782,-117.05,34.03,28,3009,698,1200,626,1.3993,INLAND
541,-122.28,37.77,27,3997,1073,1901,966,3.75,NEAR BAY
13651,-117.31,34.05,6,7423,2111,4092,1789,2.7002,INLAND
14799,-117.11,32.58,12,1086,294,870,290,2.4213,NEAR OCEAN
7977,-118.17,33.87,40,2462,587,1821,536,3.5646,<1H OCEAN
5800,-118.24,34.15,7,2063,670,1892,643,1.7301,<1H OCEAN
3543,-118.59,34.26,20,8146,1131,3562,1054,7.167,<1H OCEAN
8655,-118.42,33.85,43,1584,477,799,433,5.0322,NEAR OCEAN
11561,-117.99,33.76,17,2545,737,1468,699,1.9439,<1H OCEAN
11617,-118.07,33.8,17,2439,554,1161,532,3.6442,<1H OCEAN
10450,-117.67,33.44,25,2994,519,903,410,6.6852,<1H OCEAN
13161,-121.41,36.84,23,1771,356,1105,338,3.7049,INLAND
10687,-117.75,33.64,9,2499,492,1111,542,5.5342,<1H OCEAN
20126,-118.88,34.42,20,728,120,360,115,6.1244,<1H OCEAN
6672,-118.11,34.15,40,1950,509,1038,438,2.6172,<1H OCEAN
18451,-121.81,37.23,17,2319,324,1076,338,6.4664,<1H OCEAN
6897,-118.12,34.04,35,1038,209,598,190,5.9214,<1H OCEAN
11027,-117.83,33.8,31,2016,409,1095,405,3.8681,<1H OCEAN
17877,-122.02,37.4,33,2015,484,1285,419,4.0655,<1H OCEAN
574,-122.27,37.77,23,5679,1270,2690,1151,4.7695,NEAR BAY
11549,-118.01,33.74,25,8110,1264,3613,1232,6.0609,<1H OCEAN
3357,-120.65,40.42,39,3240,652,1467,621,2.1875,INLAND
5792,-118.24,34.14,20,3196,994,2929,983,3.0206,<1H OCEAN
2314,-119.71,36.88,17,2236,315,992,312,6.9405,INLAND
12473,-121.47,38.58,43,3807,952,1484,850,2.3266,INLAND
16115,-122.5,37.74,42,1667,395,1041,387,3.9583,NEAR OCEAN
15198,-117.09,32.9,16,1989,290,814,291,6.2715,<1H OCEAN
8468,-118.33,33.91,8,10731,3335,7211,3028,2.455,<1H OCEAN
3917,-118.53,34.19,32,2618,692,1961,633,2.625,<1H OCEAN
19834,-119.39,36.54,34,1590,422,1272,407,1.8068,INLAND
5725,-118.22,34.19,36,959,204,446,210,3.215,<1H OCEAN
403,-122.26,37.9,52,1927,279,705,288,7.8864,NEAR BAY
6290,-117.92,34.05,36,2241,419,1743,448,4.6587,<1H OCEAN
11725,-120.04,39.27,24,2237,491,264,95,4.1364,INLAND
1776,-122.34,37.94,42,2206,451,989,444,3.125,NEAR BAY
5650,-118.29,33.74,30,2074,533,1311,531,2.0329,NEAR OCEAN
548,-122.27,37.77,52,2388,559,1121,518,3.3269,NEAR BAY
15477,-117.18,33.16,15,5923,1206,3943,1006,3.1793,<1H OCEAN
13986,-117.06,34.87,14,3348,619,1756,557,3.5987,INLAND
5952,-117.85,34.12,30,4367,1033,2524,954,3.0448,INLAND
17948,-121.96,37.34,42,2001,402,942,375,4.4453,<1H OCEAN
10052,-121.04,39.19,17,856,167,518,170,3.5859,INLAND
19802,-123.17,40.31,36,98,28,18,8,0.536,INLAND
3652,-118.44,34.22,41,1582,399,1159,378,2.825,<1H OCEAN
3005,-119.07,35.27,25,3081,635,1830,591,2.5804,INLAND
7281,-118.25,33.98,37,1045,361,1666,337,1.7929,<1H OCEAN
19420,-121.18,37.64,43,1244,209,611,197,2.875,INLAND
5035,-118.34,33.99,48,2225,433,1170,401,2.9643,<1H OCEAN
8807,-118.38,33.75,23,8277,1290,3176,1159,7.6986,NEAR OCEAN
10507,-117.68,33.54,5,2840,403,1363,403,7.618,<1H OCEAN
1885,-119.98,38.93,28,1194,272,494,203,2.3281,INLAND
13936,-117.28,34.24,16,3474,633,853,315,5.2185,INLAND
4079,-118.36,34.15,34,3659,921,1338,835,3.6202,<1H OCEAN
3575,-118.52,34.23,35,1471,210,735,219,8.3841,<1H OCEAN
4512,-118.19,34.03,52,1053,246,1036,249,2.1071,<1H OCEAN
1206,-121.71,39.41,22,1814,342,941,323,2.1728,INLAND
19816,-119.29,36.54,18,2581,628,2732,592,1.8429,INLAND
7536,-118.22,33.92,23,926,409,1856,408,2.1366,<1H OCEAN
13747,-117.14,34.07,3,5542,828,2506,806,5.5875,INLAND
12886,-121.34,38.66,17,1149,257,583,243,2.8092,INLAND
13981,-117.46,34.85,7,9759,1816,2933,1168,3.4912,INLAND
694,-122.11,37.7,29,1298,306,835,338,2.3274,NEAR BAY
18130,-122.02,37.35,22,3219,756,1479,667,4.1473,<1H OCEAN
5351,-118.4,34.04,40,2079,268,720,282,9.272,<1H OCEAN
18377,-121.84,37.18,6,9176,1201,3637,1138,8.3837,<1H OCEAN
19847,-119.23,36.45,36,1508,323,1283,312,2.1205,INLAND
18438,-121.85,37.25,20,3773,624,1965,607,5.4939,<1H OCEAN
3364,-120.51,40.41,36,36,8,4198,7,5.5179,INLAND
4690,-118.36,34.07,48,1740,360,748,357,4.7019,<1H OCEAN
13486,-117.35,34.13,26,3920,570,1862,552,3.7286,INLAND
17059,-122.24,37.48,47,2423,407,1010,407,6.2154,NEAR OCEAN
17495,-119.8,34.44,27,2674,419,1176,416,5.0294,NEAR OCEAN
16293,-121.23,37.96,37,2351,564,1591,549,1.6563,INLAND
13595,-117.29,34.09,24,1451,387,1178,330,1.1806,INLAND
5116,-118.28,33.96,41,1175,340,1241,352,1.2273,<1H OCEAN
1172,-121.62,39.5,18,2105,416,974,385,1.6346,INLAND
16071,-122.49,37.75,43,2044,393,979,378,3.9205,NEAR OCEAN
19200,-122.7,38.44,35,1304,343,822,304,3.2935,<1H OCEAN
15285,-117.33,33.16,29,3559,552,1533,545,4.0585,NEAR OCEAN
8402,-118.36,33.94,38,2169,688,3036,639,2.3125,<1H OCEAN
9428,-122.93,38.02,28,1284,265,628,219,3.5469,NEAR OCEAN
20156,-119.27,34.45,15,1659,274,679,253,5,<1H OCEAN
16583,-121.45,37.75,15,3846,677,2360,635,4.6173,INLAND
6519,-118.02,34.07,21,3245,959,3528,887,2.3236,INLAND
20520,-121.53,38.58,35,1316,321,732,336,2.1213,INLAND
13144,-121.56,38.26,43,1906,327,996,314,2.9744,INLAND
10300,-117.83,33.93,14,1956,282,671,269,6.5841,<1H OCEAN
19956,-119.33,36.22,9,3748,644,1955,620,4.2011,INLAND
3539,-118.52,34.25,11,7849,1664,3561,1500,4.6625,<1H OCEAN
8044,-118.16,33.84,36,2220,367,1002,351,5.0719,<1H OCEAN
20430,-118.84,34.21,16,4975,949,2537,971,5.2361,<1H OCEAN
13168,-121.4,36.83,11,3701,739,1749,654,3.067,INLAND
20519,-121.53,38.58,33,4988,1169,2414,1075,1.9728,INLAND
14380,-117.25,32.74,36,3548,956,1648,866,2.6962,NEAR OCEAN
9037,-117.96,34.71,32,3511,646,1733,510,3.46,INLAND
18974,-122.04,38.24,22,2761,757,2612,641,1.6875,INLAND
1956,-120.76,38.73,17,512,129,314,140,1.5625,INLAND
13642,-117.33,34.06,42,530,123,390,124,1.0469,INLAND
1194,-121.67,39.37,27,2599,502,1241,502,1.9943,INLAND
1843,-122.29,37.9,52,2657,500,1131,489,4.4286,NEAR BAY
16887,-122.39,37.57,35,520,83,185,76,6.4865,NEAR OCEAN
16874,-122.41,37.59,34,3931,622,1717,621,6.2946,NEAR OCEAN
20171,-119.3,34.39,35,3079,579,1807,589,4.69,NEAR OCEAN
19610,-121.14,37.48,6,1772,332,1011,331,3.7045,INLAND
13167,-121.37,36.83,14,3658,612,1951,600,4.76,INLAND
5542,-118.4,33.98,39,714,118,314,117,5.9856,<1H OCEAN
14967,-116.99,32.73,30,1856,339,1103,379,4.0357,<1H OCEAN
7793,-118.08,33.89,35,1071,290,1412,274,3.1917,<1H OCEAN
12350,-116.5,33.81,26,5032,1229,3086,1183,2.5399,INLAND
8764,-118.37,33.81,36,1283,209,563,209,6.9296,NEAR OCEAN
5162,-118.29,33.95,32,721,205,842,208,1.6029,<1H OCEAN
2929,-119,35.36,40,850,227,764,186,0.9407,INLAND
18866,-122.22,38.1,38,931,181,566,207,3.0221,NEAR BAY
1693,-122.26,38,14,2338,391,1003,398,4.2269,NEAR BAY
12099,-117.32,33.96,19,3216,666,1363,629,3.7585,INLAND
2054,-119.69,36.69,36,1432,269,836,237,2.1563,INLAND
7073,-118.02,33.95,35,2085,400,1112,391,3.4886,<1H OCEAN
11715,-120.12,39.18,17,2839,525,390,189,3.5667,INLAND
16181,-121.28,37.95,46,1026,330,1109,333,1.2904,INLAND
4123,-118.22,34.14,50,3657,708,1725,644,5.5456,<1H OCEAN
20067,-120.4,37.98,19,2010,433,910,390,2.6696,INLAND
16124,-122.47,37.78,52,2635,587,1302,577,3.7292,NEAR BAY
3724,-118.42,34.18,27,3760,880,2022,812,3.1551,<1H OCEAN
7526,-118.24,33.92,40,1772,369,1122,324,3.2768,<1H OCEAN
16590,-121.44,37.74,25,456,116,370,106,3.1319,INLAND
14471,-117.23,32.88,18,5566,1465,6303,1458,1.858,NEAR OCEAN
6413,-118.03,34.11,34,2837,460,1344,458,6.5722,INLAND
2438,-119.62,36.59,17,2287,390,1330,393,4.0197,INLAND
3499,-118.45,34.27,35,1579,300,1012,265,5.1296,<1H OCEAN
20341,-119.03,34.22,24,3421,656,2220,645,4.7831,<1H OCEAN
11921,-117.41,33.96,27,2341,418,1272,415,3.0208,INLAND
1089,-121.82,39.73,33,2242,517,1160,449,1.7426,INLAND
16606,-120.67,35.62,6,12779,2441,6085,2157,3.8661,<1H OCEAN
12566,-121.45,38.54,48,3421,734,1441,727,1.9485,INLAND
17111,-122.18,37.46,40,2529,293,831,258,15.0001,NEAR BAY
17785,-121.84,37.37,28,1579,339,1252,353,4.1615,<1H OCEAN
20624,-121.41,39.04,16,1698,300,731,291,3.0739,INLAND
4576,-118.28,34.07,24,3247,1281,2642,1182,2.4632,<1H OCEAN
15373,-117.25,33.38,17,1614,431,1031,389,2.0956,<1H OCEAN
1196,-121.67,39.34,22,1217,224,537,187,2.6607,INLAND
14879,-117.07,32.63,37,2303,379,1026,357,3.455,NEAR OCEAN
4426,-118.25,34.07,18,4297,1420,4332,1286,2.2545,<1H OCEAN
20338,-119.03,34.23,16,5323,795,2493,779,5.6762,<1H OCEAN
3478,-118.51,34.28,29,4239,653,1890,631,6.3911,<1H OCEAN
3465,-118.46,34.31,24,2920,601,1460,598,4.2708,<1H OCEAN
4518,-118.2,34.04,36,1625,490,2003,478,2.181,<1H OCEAN
6067,-117.86,34.02,19,6300,937,3671,943,5.9716,<1H OCEAN
12832,-121.42,38.68,32,2118,345,1019,338,3.725,INLAND
16681,-120.56,35.13,15,5818,924,2324,845,4.4033,<1H OCEAN
13171,-121.32,36.79,30,516,90,288,95,3.6333,INLAND
19514,-121.03,37.62,46,2331,508,1210,484,2.5313,INLAND
19079,-122.49,38.32,17,3308,720,1587,632,3.2727,<1H OCEAN
19486,-120.98,37.67,33,1433,298,824,302,2.7621,INLAND
12302,-116.89,33.92,10,2653,621,1967,598,2.6643,INLAND
7528,-118.23,33.91,34,661,146,742,143,2.1734,<1H OCEAN
19559,-120.98,37.6,36,1437,,1073,320,2.1779,INLAND
10845,-117.89,33.68,26,2905,504,1452,491,5.0853,<1H OCEAN
11214,-117.91,33.82,32,1408,307,1331,284,3.7014,<1H OCEAN
16747,-122.46,37.69,35,1983,385,1577,414,4.0833,NEAR OCEAN
17676,-121.84,37.32,14,5762,1538,3979,1389,3.6953,<1H OCEAN
9843,-121.9,36.6,45,2249,412,944,429,3.0625,NEAR OCEAN
9711,-121.66,36.67,40,2497,520,1275,508,3.1071,<1H OCEAN
19639,-120.8,37.55,18,1802,335,1110,329,3.1641,INLAND
2687,-115.55,32.98,33,2266,365,952,360,5.4349,INLAND
4650,-118.32,34.05,42,3292,713,2224,674,3.5517,<1H OCEAN
15139,-116.91,32.85,21,4152,703,2255,697,4.5096,<1H OCEAN
10555,-117.71,33.63,16,2497,500,1357,456,4.5909,<1H OCEAN
2444,-119.6,36.56,36,738,168,737,186,1.4415,INLAND
5124,-118.26,33.99,30,1702,443,1966,442,1.5521,<1H OCEAN
16143,-122.47,37.77,52,2241,443,1042,377,4.1635,NEAR BAY
9392,-122.54,37.91,48,2924,489,1159,505,5.6302,NEAR BAY
7692,-118.11,33.95,34,1723,279,617,252,6.7501,<1H OCEAN
18679,-121.89,36.89,18,2774,492,1283,353,5.368,NEAR OCEAN
11759,-121.24,38.72,12,3605,576,1556,549,4.9,INLAND
2041,-119.69,36.73,30,2437,349,1005,380,7.2211,INLAND
19425,-121.03,37.69,6,2607,557,1266,475,3.4632,INLAND
2003,-119.79,36.74,35,853,296,1228,289,1.0513,INLAND
18913,-122.25,38.15,24,2917,543,1878,531,3.7014,NEAR BAY
8587,-118.38,33.89,35,1778,330,732,312,6.5745,<1H OCEAN
15875,-122.41,37.75,52,1057,276,837,292,2.4531,NEAR BAY
13258,-117.69,34.1,17,3759,1035,1722,847,2.6074,INLAND
